	token	pos	lemma	text	year	suffix
255	merecimento	NOM	merecimento	alencar1857.txt	1857	mento
256	juramento	NOM	juramento	alencar1857.txt	1857	mento
257	juramento	NOM	juramento	alencar1857.txt	1857	mento
258	juramento	NOM	juramento	alencar1857.txt	1857	mento
260	juramento	NOM	juramento	alencar1857.txt	1857	mento
262	movimento	NOM	movimento	alencar1857.txt	1857	mento
264	movimento	NOM	movimento	alencar1857.txt	1857	mento
266	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
267	movimento	NOM	movimento	alencar1857.txt	1857	mento
268	contentamento	NOM	contentamento	alencar1857.txt	1857	mento
269	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
273	movimento	NOM	movimento	alencar1857.txt	1857	mento
275	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
276	estremecimento	NOM	estremecimento	alencar1857.txt	1857	mento
281	estouvamento	NOM	estouvamento	alencar1857.txt	1857	mento
283	sentimento	NOM	sentimento	alencar1857.txt	1857	mento
287	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
289	sentimento	NOM	sentimento	alencar1857.txt	1857	mento
291	recolhimento	NOM	recolhimento	alencar1857.txt	1857	mento
293	acontecimento	NOM	acontecimento	alencar1857.txt	1857	mento
294	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
295	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
296	sofrimento	NOM	sofrimento	alencar1857.txt	1857	mento
297	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
300	movimento	NOM	movimento	alencar1857.txt	1857	mento
301	sentimento	NOM	sentimento	alencar1857.txt	1857	mento
302	acontecimento	NOM	acontecimento	alencar1857.txt	1857	mento
303	sentimento	NOM	sentimento	alencar1857.txt	1857	mento
305	ardimento	NOM	ardimento	alencar1857.txt	1857	mento
306	sentimento	NOM	sentimento	alencar1857.txt	1857	mento
307	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
308	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
310	movimento	NOM	movimento	alencar1857.txt	1857	mento
312	movimento	NOM	movimento	alencar1857.txt	1857	mento
313	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
317	sentimento	NOM	sentimento	alencar1857.txt	1857	mento
318	sentimento	NOM	sentimento	alencar1857.txt	1857	mento
321	movimento	NOM	movimento	alencar1857.txt	1857	mento
323	movimento	NOM	movimento	alencar1857.txt	1857	mento
324	movimento	NOM	movimento	alencar1857.txt	1857	mento
327	movimento	NOM	movimento	alencar1857.txt	1857	mento
328	movimento	NOM	movimento	alencar1857.txt	1857	mento
335	movimento	NOM	movimento	alencar1857.txt	1857	mento
336	reconhecimento	NOM	reconhecimento	alencar1857.txt	1857	mento
337	movimento	NOM	movimento	alencar1857.txt	1857	mento
338	acanhamento	NOM	acanhamento	alencar1857.txt	1857	mento
339	sentimento	NOM	sentimento	alencar1857.txt	1857	mento
340	movimento	NOM	movimento	alencar1857.txt	1857	mento
343	acontecimento	NOM	acontecimento	alencar1857.txt	1857	mento
346	movimento	NOM	movimento	alencar1857.txt	1857	mento
347	acontecimento	NOM	acontecimento	alencar1857.txt	1857	mento
348	desfalecimento	NOM	desfalecimento	alencar1857.txt	1857	mento
350	ferimento	NOM	ferimento	alencar1857.txt	1857	mento
351	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
354	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
355	contentamento	NOM	contentamento	alencar1857.txt	1857	mento
358	juramento	NOM	juramento	alencar1857.txt	1857	mento
363	movimento	NOM	movimento	alencar1857.txt	1857	mento
366	acolhimento	NOM	acolhimento	alencar1857.txt	1857	mento
368	movimento	NOM	movimento	alencar1857.txt	1857	mento
370	deslumbramento	NOM	deslumbramento	alencar1857.txt	1857	mento
371	movimento	NOM	movimento	alencar1857.txt	1857	mento
373	sentimento	NOM	sentimento	alencar1857.txt	1857	mento
375	reconhecimento	NOM	reconhecimento	alencar1857.txt	1857	mento
376	reconhecimento	NOM	reconhecimento	alencar1857.txt	1857	mento
378	regimento	NOM	regimento	alencar1857.txt	1857	mento
381	regimento	NOM	regimento	alencar1857.txt	1857	mento
383	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
386	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
387	sentimento	NOM	sentimento	alencar1857.txt	1857	mento
388	atrevimento	NOM	atrevimento	alencar1857.txt	1857	mento
389	sentimento	NOM	sentimento	alencar1857.txt	1857	mento
391	seguimento	NOM	seguimento	alencar1857.txt	1857	mento
392	movimento	NOM	movimento	alencar1857.txt	1857	mento
393	reconhecimento	NOM	reconhecimento	alencar1857.txt	1857	mento
394	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
397	movimento	NOM	movimento	alencar1857.txt	1857	mento
398	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
399	movimento	NOM	movimento	alencar1857.txt	1857	mento
400	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
401	pressentimento	NOM	pressentimento	alencar1857.txt	1857	mento
402	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
403	ressentimento	NOM	ressentimento	alencar1857.txt	1857	mento
405	juramento	NOM	juramento	alencar1857.txt	1857	mento
407	movimento	NOM	movimento	alencar1857.txt	1857	mento
408	juramento	NOM	juramento	alencar1857.txt	1857	mento
409	sentimento	NOM	sentimento	alencar1857.txt	1857	mento
410	sentimento	NOM	sentimento	alencar1857.txt	1857	mento
414	sofrimento	NOM	sofrimento	alencar1857.txt	1857	mento
415	acolhimento	NOM	acolhimento	alencar1857.txt	1857	mento
419	sentimento	NOM	sentimento	alencar1857.txt	1857	mento
421	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
422	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
423	procedimento	NOM	procedimento	alencar1857.txt	1857	mento
431	juramento	NOM	juramento	alencar1857.txt	1857	mento
434	procedimento	NOM	procedimento	alencar1857.txt	1857	mento
437	movimento	NOM	movimento	alencar1857.txt	1857	mento
440	pressentimento	NOM	pressentimento	alencar1857.txt	1857	mento
441	pressentimento	NOM	pressentimento	alencar1857.txt	1857	mento
442	movimento	NOM	movimento	alencar1857.txt	1857	mento
444	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
446	esquecimento	NOM	esquecimento	alencar1857.txt	1857	mento
447	ressentimento	NOM	ressentimento	alencar1857.txt	1857	mento
448	juramento	NOM	juramento	alencar1857.txt	1857	mento
450	sentimento	NOM	sentimento	alencar1857.txt	1857	mento
451	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
452	movimento	NOM	movimento	alencar1857.txt	1857	mento
454	sentimento	NOM	sentimento	alencar1857.txt	1857	mento
455	movimento	NOM	movimento	alencar1857.txt	1857	mento
456	movimento	NOM	movimento	alencar1857.txt	1857	mento
458	movimento	NOM	movimento	alencar1857.txt	1857	mento
459	sentimento	NOM	sentimento	alencar1857.txt	1857	mento
460	isolamento	NOM	isolamento	alencar1857.txt	1857	mento
463	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
465	sentimento	NOM	sentimento	alencar1857.txt	1857	mento
466	acompanhamento	NOM	acompanhamento	alencar1857.txt	1857	mento
470	descontentamento	NOM	descontentamento	alencar1857.txt	1857	mento
471	conhecimento	NOM	conhecimento	alencar1857.txt	1857	mento
472	descontentamento	NOM	descontentamento	alencar1857.txt	1857	mento
473	emprazamento	NOM	emprazamento	alencar1857.txt	1857	mento
474	desapontamento	NOM	desapontamento	alencar1857.txt	1857	mento
475	divertimento	NOM	divertimento	alencar1857.txt	1857	mento
477	ardimento	NOM	ardimento	alencar1857.txt	1857	mento
478	reconhecimento	NOM	reconhecimento	alencar1857.txt	1857	mento
480	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
485	sentimento	NOM	sentimento	alencar1857.txt	1857	mento
486	juramento	NOM	juramento	alencar1857.txt	1857	mento
487	juramento	NOM	juramento	alencar1857.txt	1857	mento
488	movimento	NOM	movimento	alencar1857.txt	1857	mento
489	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
492	movimento	NOM	movimento	alencar1857.txt	1857	mento
493	amortecimento	NOM	amortecimento	alencar1857.txt	1857	mento
494	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
495	movimento	NOM	movimento	alencar1857.txt	1857	mento
498	oferecimento	NOM	oferecimento	alencar1857.txt	1857	mento
500	desaparecimento	NOM	desaparecimento	alencar1857.txt	1857	mento
501	aparecimento	NOM	aparecimento	alencar1857.txt	1857	mento
503	pressentimento	NOM	pressentimento	alencar1857.txt	1857	mento
504	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
505	movimento	NOM	movimento	alencar1857.txt	1857	mento
507	movimento	NOM	movimento	alencar1857.txt	1857	mento
508	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
509	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
512	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
514	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
516	juramento	NOM	juramento	alencar1857.txt	1857	mento
519	julgamento	NOM	julgamento	alencar1857.txt	1857	mento
521	movimento	NOM	movimento	alencar1857.txt	1857	mento
525	atordoamento	NOM	atordoamento	alencar1857.txt	1857	mento
526	juramento	NOM	juramento	alencar1857.txt	1857	mento
531	movimento	NOM	movimento	alencar1857.txt	1857	mento
534	juramento	NOM	juramento	alencar1857.txt	1857	mento
535	sentimento	NOM	sentimento	alencar1857.txt	1857	mento
538	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
539	movimento	NOM	movimento	alencar1857.txt	1857	mento
540	sofrimento	NOM	sofrimento	alencar1857.txt	1857	mento
541	movimento	NOM	movimento	alencar1857.txt	1857	mento
542	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
543	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
544	sentimento	NOM	sentimento	alencar1857.txt	1857	mento
545	movimento	NOM	movimento	alencar1857.txt	1857	mento
547	movimento	NOM	movimento	alencar1857.txt	1857	mento
549	movimento	NOM	movimento	alencar1857.txt	1857	mento
550	acontecimento	NOM	acontecimento	alencar1857.txt	1857	mento
552	cumprimento	NOM	cumprimento	alencar1857.txt	1857	mento
553	sentimento	NOM	sentimento	alencar1857.txt	1857	mento
554	sentimento	NOM	sentimento	alencar1857.txt	1857	mento
555	movimento	NOM	movimento	alencar1857.txt	1857	mento
556	cumprimento	NOM	cumprimento	alencar1857.txt	1857	mento
559	movimento	NOM	movimento	alencar1857.txt	1857	mento
561	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
563	movimento	NOM	movimento	alencar1857.txt	1857	mento
564	movimento	NOM	movimento	alencar1857.txt	1857	mento
565	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
567	movimento	NOM	movimento	alencar1857.txt	1857	mento
569	movimento	NOM	movimento	alencar1857.txt	1857	mento
570	movimento	NOM	movimento	alencar1857.txt	1857	mento
571	sentimento	NOM	sentimento	alencar1857.txt	1857	mento
573	contentamento	NOM	contentamento	alencar1857.txt	1857	mento
575	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
576	sentimento	NOM	sentimento	alencar1857.txt	1857	mento
577	sentimento	NOM	sentimento	alencar1857.txt	1857	mento
580	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
581	descontentamento	NOM	descontentamento	alencar1857.txt	1857	mento
585	arrependimento	NOM	arrependimento	alencar1857.txt	1857	mento
586	arrependimento	NOM	arrependimento	alencar1857.txt	1857	mento
587	movimento	NOM	movimento	alencar1857.txt	1857	mento
588	movimento	NOM	movimento	alencar1857.txt	1857	mento
589	reconhecimento	NOM	reconhecimento	alencar1857.txt	1857	mento
592	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
594	aparecimento	NOM	aparecimento	alencar1857.txt	1857	mento
595	sentimento	NOM	sentimento	alencar1857.txt	1857	mento
596	oferecimento	NOM	oferecimento	alencar1857.txt	1857	mento
598	movimento	NOM	movimento	alencar1857.txt	1857	mento
602	reconhecimento	NOM	reconhecimento	alencar1857.txt	1857	mento
605	movimento	NOM	movimento	alencar1857.txt	1857	mento
608	procedimento	NOM	procedimento	alencar1857.txt	1857	mento
609	movimento	NOM	movimento	alencar1857.txt	1857	mento
612	reconhecimento	NOM	reconhecimento	alencar1857.txt	1857	mento
615	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
617	envenenamento	NOM	envenenamento	alencar1857.txt	1857	mento
618	aviltamento	NOM	aviltamento	alencar1857.txt	1857	mento
619	sentimento	NOM	sentimento	alencar1857.txt	1857	mento
621	movimento	NOM	movimento	alencar1857.txt	1857	mento
623	juramento	NOM	juramento	alencar1857.txt	1857	mento
628	sofrimento	NOM	sofrimento	alencar1857.txt	1857	mento
630	pressentimento	NOM	pressentimento	alencar1857.txt	1857	mento
631	sofrimento	NOM	sofrimento	alencar1857.txt	1857	mento
632	sentimento	NOM	sentimento	alencar1857.txt	1857	mento
635	envenenamento	NOM	envenenamento	alencar1857.txt	1857	mento
639	sofrimento	NOM	sofrimento	alencar1857.txt	1857	mento
640	sofrimento	NOM	sofrimento	alencar1857.txt	1857	mento
641	sofrimento	NOM	sofrimento	alencar1857.txt	1857	mento
643	pressentimento	NOM	pressentimento	alencar1857.txt	1857	mento
646	acontecimento	NOM	acontecimento	alencar1857.txt	1857	mento
648	reconhecimento	NOM	reconhecimento	alencar1857.txt	1857	mento
650	abatimento	NOM	abatimento	alencar1857.txt	1857	mento
651	oferecimento	NOM	oferecimento	alencar1857.txt	1857	mento
652	sentimento	NOM	sentimento	alencar1857.txt	1857	mento
656	reconhecimento	NOM	reconhecimento	alencar1857.txt	1857	mento
657	juramento	NOM	juramento	alencar1857.txt	1857	mento
665	sentimento	NOM	sentimento	alencar1857.txt	1857	mento
667	juramento	NOM	juramento	alencar1857.txt	1857	mento
668	sentimento	NOM	sentimento	alencar1857.txt	1857	mento
671	sentimento	NOM	sentimento	alencar1857.txt	1857	mento
672	contentamento	NOM	contentamento	alencar1857.txt	1857	mento
674	movimento	NOM	movimento	alencar1857.txt	1857	mento
677	aparecimento	NOM	aparecimento	alencar1857.txt	1857	mento
678	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
679	sentimento	NOM	sentimento	alencar1857.txt	1857	mento
681	sofrimento	NOM	sofrimento	alencar1857.txt	1857	mento
683	sentimento	NOM	sentimento	alencar1857.txt	1857	mento
684	reconhecimento	NOM	reconhecimento	alencar1857.txt	1857	mento
688	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
690	sentimento	NOM	sentimento	alencar1857.txt	1857	mento
691	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
692	sentimento	NOM	sentimento	alencar1857.txt	1857	mento
693	sentimento	NOM	sentimento	alencar1857.txt	1857	mento
694	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
696	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
697	isolamento	NOM	isolamento	alencar1857.txt	1857	mento
698	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
699	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
703	pensamento	NOM	pensamento	alencar1857.txt	1857	mento
704	reconhecimento	NOM	reconhecimento	alencar1857.txt	1857	mento
705	sentimento	NOM	sentimento	alencar1857.txt	1857	mento
706	movimento	NOM	movimento	alencar1857.txt	1857	mento
709	sentimento	NOM	sentimento	alencar1862.txt	1862	mento
711	movimento	NOM	movimento	alencar1862.txt	1862	mento
712	acanhamento	NOM	acanhamento	alencar1862.txt	1862	mento
